villid,hogid,D_HH,IncomeLab,famsize,agehead,sexhead,pov_HH
1001106,101103050.1,1,NA,6,29,Female,pobre
1001106,101103052.1,1,NA,6,43,Male,no pobre
1001106,101103054.1,1,NA,6,43,Male,no pobre
1001106,101103056.1,1,3200,5,25,Female,pobre
1001106,101103058.1,1,NA,5,40,Male,no pobre
1001106,101103060.1,1,4320,5,40,Male,no pobre
1001106,101103062.1,1,4800,5,39,Male,no pobre
1001106,101103064.1,1,NA,6,45,Female,pobre
1001106,101103066.1,1,NA,6,42,Male,no pobre
1001106,101103068.1,1,3200,3,22,Male,pobre
1001106,101103070.1,1,NA,6,40,Female,no pobre
1001106,101103072.1,1,NA,5,24,Male,pobre
1001315,101103002.1,1,NA,6,29,Male,pobre
1001315,101103004.1,1,NA,6,74,Male,pobre
1001315,101103006.1,1,NA,6,41,Male,no pobre
1001315,101103008.1,1,NA,5,48,Male,pobre
1001315,101103012.1,1,NA,4,32,Male,pobre
1001315,101103014.1,1,NA,11,30,Female,pobre
1001315,101103016.1,1,NA,5,41,Female,pobre
1001315,101103018.1,1,1000,4,25,Male,no pobre
1001315,101103024.1,1,NA,4,36,Female,pobre
1002008,102103002.1,1,3000,4,29,Male,pobre
1002008,102103004.1,1,NA,6,45,Female,no pobre
1002008,102103006.1,1,1200,6,51,Male,no pobre
1002008,102103008.1,1,NA,5,71,Male,no pobre
1002008,102103010.1,1,1000,4,27,Male,no pobre
1002008,102103012.1,1,NA,6,31,Male,pobre
1002008,102103014.1,1,NA,4,36,Male,no pobre
1002008,102103016.1,1,NA,7,34,Male,pobre
1002008,102103018.1,1,NA,9,47,Male,no pobre
1002008,102103020.1,1,NA,5,41,Male,no pobre
1002008,102103022.1,1,NA,6,40,Male,pobre
1002008,102103024.1,1,4000,6,38,Male,pobre
1002010,104103026.1,1,NA,2,42,Female,no pobre
1002010,104103028.1,0,NA,3,43,Male,no pobre
1002010,104103032.1,1,NA,6,35,Male,pobre
1002010,104103034.1,1,NA,3,28,Male,no pobre
1002010,104103036.1,1,NA,5,37,Male,no pobre
1002010,104103038.1,1,NA,6,59,Male,pobre
1002010,104103040.1,1,6300,5,39,Male,no pobre
1002010,104103042.1,1,NA,6,35,Female,pobre
1002010,104103044.1,1,NA,5,41,Male,pobre
1002010,104103046.1,1,NA,4,33,Male,pobre
1002010,104103048.1,1,2400,5,36,Male,pobre
1002025,102103050.1,1,NA,5,32,Male,pobre
1002025,102103052.1,1,NA,1,68,Female,no pobre
1002025,102103054.1,1,NA,5,66,Female,pobre
1002025,102103056.1,1,3000,6,43,Male,no pobre
1002025,102103058.1,0,3000,11,58,Male,pobre
1002025,102103060.1,1,NA,6,29,Male,pobre
1002025,102103062.1,1,NA,4,24,Male,pobre
1002025,102103064.1,1,3000,4,44,Male,no pobre
1002025,102103066.1,0,NA,13,46,Male,pobre
1002025,102103068.1,1,NA,12,55,Male,pobre
1002025,102103070.1,1,NA,5,33,Male,pobre
1002025,102103072.1,1,NA,4,32,Male,pobre
1002030,103103050.1,1,NA,5,38,Male,pobre
1002030,103103052.1,1,NA,9,87,Male,pobre
1002030,103103054.1,1,NA,6,44,Male,no pobre
1002030,103103056.1,1,NA,4,34,Male,pobre
1002030,103103058.1,1,300,6,34,Male,pobre
1002030,103103060.1,1,NA,4,56,Male,pobre
1002030,103103062.1,1,NA,9,62,Male,pobre
1002030,103103064.1,1,NA,6,46,Male,pobre
1002030,103103066.1,1,NA,2,52,Male,pobre
1002030,103103068.1,1,NA,5,78,Male,pobre
1002030,103103070.1,1,3440,8,40,Female,pobre
1002030,103103072.1,1,3200,5,42,Male,no pobre
1002033,103103026.1,1,NA,6,36,Male,pobre
1002033,103103028.1,1,NA,7,31,Male,pobre
1002033,103103030.1,1,NA,6,43,Male,pobre
1002033,103103032.1,1,NA,6,35,Male,pobre
1002033,103103034.1,0,NA,7,60,Male,pobre
1002033,103103036.1,1,NA,4,25,Female,no pobre
1002033,103103038.1,1,NA,7,39,Male,pobre
1002033,103103040.1,1,3600,3,34,Male,pobre
1002033,103103042.1,1,NA,4,81,Female,pobre
1002033,103103046.1,1,NA,10,36,Male,pobre
1002033,103103048.1,1,NA,6,32,Male,pobre
1002035,102103026.1,1,NA,6,36,Male,no pobre
1002035,102103028.1,1,3000,4,36,Male,pobre
1002035,102103032.1,1,NA,10,39,Male,no pobre
1002035,102103034.1,1,NA,4,35,Male,pobre
1002035,102103036.1,1,2800,3,26,Male,no pobre
1002035,102103038.1,1,NA,6,36,Male,pobre
1002035,102103040.1,1,NA,6,47,Female,pobre
1002035,102103042.1,1,NA,8,36,Male,pobre
1002035,102103044.1,1,3000,14,47,Male,pobre
1002035,102103046.1,1,NA,7,47,Male,pobre
1002060,104103002.1,1,NA,5,32,Male,pobre
1002060,104103004.1,1,NA,3,46,Male,no pobre
1002060,104103006.1,1,NA,9,67,Male,no pobre
1002060,104103008.1,1,NA,2,86,Male,pobre
1002060,104103010.1,1,NA,6,43,Male,no pobre
1002060,104103012.1,1,NA,7,36,Male,pobre
1002060,104103014.1,1,NA,9,51,Male,pobre
1002060,104103016.1,1,NA,6,37,Male,pobre
1002060,104103020.1,1,NA,3,71,Female,no pobre
1002060,104103022.1,1,NA,7,39,Female,no pobre
1002060,104103024.1,1,NA,7,43,Male,no pobre
1002094,103103002.1,1,NA,5,29,Male,pobre
1002094,103103004.1,1,NA,5,56,Male,pobre
1002094,103103004.1,1,NA,6,44,Female,pobre
1002094,103103008.1,1,NA,6,42,Male,pobre
1002094,103103010.1,1,NA,5,29,Female,pobre
1002094,103103012.1,1,NA,6,28,Male,pobre
1002094,103103014.1,1,NA,4,68,Male,pobre
1002094,103103016.1,1,NA,8,48,Male,pobre
1002094,103103018.1,1,NA,4,46,Female,pobre
1002094,103103024.1,1,NA,7,54,Male,pobre
1008018,105103026.1,1,NA,3,41,Female,no pobre
1008018,105103028.1,1,NA,4,49,Male,no pobre
1008018,105103030.1,1,NA,5,41,Male,pobre
1008018,105103034.1,1,NA,6,41,Female,pobre
1008018,105103038.1,1,NA,6,40,Male,no pobre
1008018,105103040.1,1,2800,2,43,Male,no pobre
1008018,105103042.1,1,NA,7,48,Female,pobre
1008018,105103044.1,1,NA,10,79,Male,pobre
1008018,105103046.1,0,2800,5,61,Female,no pobre
1008018,105103048.1,1,NA,7,31,Male,pobre
1008018,105103050.1,1,NA,6,78,Male,pobre
1008018,105103052.1,1,NA,7,40,Male,pobre
1008018,105103054.1,1,NA,10,54,Male,pobre
1008018,105103056.1,1,NA,5,32,Male,pobre
1008018,105103058.1,1,NA,6,55,Male,no pobre
1008018,105103060.1,1,NA,4,56,Male,no pobre
1008018,105103062.1,0,NA,5,43,Female,no pobre
1008018,105103064.1,1,NA,5,30,Female,pobre
1008018,105103066.1,1,NA,5,69,Female,pobre
1008018,105103068.1,0,NA,5,32,Male,pobre
1008018,105103070.1,1,NA,4,32,Female,pobre
1008022,105103002.1,1,4500,6,35,Female,pobre
1008022,105103004.1,1,NA,6,44,Male,pobre
1008022,105103006.1,1,NA,7,34,Male,pobre
1008022,105103008.1,1,1350,3,30,Female,pobre
1008022,105103010.1,1,1410,4,62,Male,no pobre
1008022,105103012.1,1,NA,7,37,Male,pobre
1008022,105103014.1,1,NA,4,32,Male,pobre
1008022,105103016.1,1,NA,4,85,Male,pobre
1008022,105103018.1,1,NA,3,44,Female,pobre
1008022,105103020.1,1,NA,9,40,Female,pobre
1008022,105103022.1,1,2000,5,32,Male,pobre
1008022,105103024.1,0,NA,4,72,Male,pobre
1009005,106103002.1,1,NA,7,44,Male,pobre
1009005,106103004.1,1,NA,7,45,Male,no pobre
1009005,106103006.1,1,NA,7,72,Male,pobre
1009005,106103008.1,1,4000,8,41,Male,pobre
1009005,106103010.1,1,NA,1,84,Female,pobre
1009005,106103012.1,1,NA,4,33,Male,no pobre
1009005,106103014.1,1,3200,7,51,Male,pobre
1009005,106103016.1,1,NA,7,39,Male,pobre
