schlcode,c_size,grade,classid,classize,avgmath,avgverb,pct_disadvantaged
11005,54,5,1,28,74.110001,70.57,24
11005,54,5,2,26,71.110001,75,24
11006,37,5,1,22,64,75.470001,38
11006,37,5,2,15,50,60.647499,38
11009,32,5,1,32,68.379997,73.970001,6
11010,68,5,1,34,59.860001,69.550003,3
11010,68,5,2,34,61.900002,68.129997,3
11013,86,5,1,30,61.099998,65.57,8
11013,86,5,2,26,59.419998,69.919998,8
11013,86,5,3,31,66.370003,73.139999,8
11015,95,5,1,32,76.57,79.660004,6
11015,95,5,2,32,71.290001,75.940002,6
11015,95,5,3,31,81.040001,84.889999,6
11017,77,5,2,39,65.779999,70.370003,9
11017,77,5,1,38,68.504669,71.711288,9
11020,97,5,1,31,71.300003,78.309998,5
11020,97,5,2,33,77.260002,78.099998,5
11020,97,5,3,33,73.300003,77.209999,5
11021,58,5,1,30,57.860001,72.639999,11
11021,58,5,2,28,56.540001,67.709999,11
11027,97,5,2,34,71.089996,81.029999,5
11027,97,5,3,29,65.209999,73.379997,5
11027,97,5,1,34,64.483032,73.258713,5
11029,70,5,1,34,56.23,65.190002,11
11029,70,5,2,36,57.702061,74.38559,11
11031,42,5,1,23,67.089996,74.57,12
11031,42,5,2,19,64.410004,69.059998,12
11032,95,5,1,32,49.52,61.07,13
11032,95,5,2,31,59.5,68.970001,13
11032,95,5,3,29,60.290001,62.619999,13
11034,56,5,2,28,64.75,70.589996,11
11034,56,5,1,28,67.296295,71.410004,11
11044,11,5,1,11,55.580002,69.25,50
11045,76,5,1,38,68.580002,74.849998,9
11045,76,5,2,38,67.46833,75.14167,9
11048,74,5,1,38,67.760002,82.029999,11
11048,74,5,2,36,75.349998,75.650002,11
11054,35,5,1,35,63,68,17
11058,82,5,1,25,62.57,72.669998,13
11058,82,5,2,29,62.580002,72.32,13
11058,82,5,3,26,53.779999,76.32,13
11061,46,5,1,16,44.27,61.639999,15
11061,46,5,2,30,57.080002,73.75,15
11064,40,5,1,40,48.73,52.77,25
11065,20,5,1,20,67.5,73.669998,42
11067,62,5,1,22,47.709999,61,31
11067,62,5,2,29,51.540001,66.419998,31
11072,41,5,1,21,68.889999,71.839996,25
11072,41,5,2,20,61.304501,72.152,25
11073,60,5,1,30,72.360001,84.93,7
11073,60,5,2,30,65.480003,72.800003,7
11106,58,5,2,29,77.599998,80.099998,3
11106,58,5,1,29,78.470589,86.411766,3
11108,12,5,1,12,48.75,57.09,54
