"","pctyes","year","leaid","stabbr","votesharereqd","margin","passbond","holdbond","cap_exp","l1cap_exp","l2cap_exp","f1cap_exp","f2cap_exp","f3cap_exp","f4cap_exp","f5cap_exp","f6cap_exp","noncap_exp","l1noncap_exp","l2noncap_exp","f1noncap_exp","f2noncap_exp","f3noncap_exp","f4noncap_exp","f5noncap_exp","f6noncap_exp","l1passbond","l2passbond","f1passbond","f2passbond","f3passbond","f4passbond","f5passbond","f6passbond","l1holdbond","l2holdbond","f1holdbond","f2holdbond","f3holdbond","f4holdbond","f5holdbond","f6holdbond"
"1",0.453553441522104,2002,600001,"CA",0.550000011920929,-0.096446574,0,1,587.81061,1041.4017,2868.7776,723.29028,127.44622,140.81906,43.261665,133.46169,173.95082,8576.1641,8577.7324,7666.4238,9153.5723,8630.2227,8734.7861,8389.4355,8705.252,8920.5547,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"2",0.483313702394975,2003,600001,"CA",0.550000011920929,-0.06668631,0,1,723.29028,587.81061,1041.4017,127.44622,140.81906,43.261665,133.46169,173.95082,490.78079,9153.5723,8576.1641,8577.7324,8630.2227,8734.7861,8389.4355,8705.252,8920.5547,9687.2988,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"3",0.507474429583005,2004,600001,"CA",0.550000011920929,-0.042525582,0,1,127.44622,723.29028,587.81061,140.81906,43.261665,133.46169,173.95082,490.78079,272.13019,8630.2227,9153.5723,8576.1641,8734.7861,8389.4355,8705.252,8920.5547,9687.2988,9687.3076,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"4",0.510578583765112,2008,600001,"CA",0.550000011920929,-0.039421428,0,1,173.95082,133.46169,43.261665,490.78079,272.13019,606.06702,555.73547,409.53891,868.74707,8920.5547,8705.252,8389.4355,9687.2988,9687.3076,9376.5293,9832.415,11048.243,8162.7734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.687596048298573,1999,600006,"CA",0.666666984558105,0.020929065,1,1,1324.8656,670.67969,747.09515,2252.6904,4593.4463,7456.4526,2912.5574,2543.5825,1981.7395,9599.2539,9469.2959,9359.2148,9827.0156,10451.962,11090.221,11177.478,10864.293,11643.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.71049357113231,2010,600006,"CA",0.666666984558105,0.043826587,1,1,136.69916,107.81474,137.93599,469.13596,1732.3838,7287.6328,3338.3447,1635.3276,1209.6315,10943.659,11377.844,11653.061,9825.8232,9648.0762,10595.287,11056.999,11997.215,12425.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0.676285714285714,2002,600013,"CA",0.666666984558105,0.0096187294,1,1,2557.0525,5002.9268,6332.7026,1047.1027,6375.3584,8206.4512,2448.7285,422.79489,206.17911,9425.083,9392.0918,8200.9023,9543.165,9138.0537,8894.8691,9660.5088,9798.4844,9578.4521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0.35949157225753,2001,600014,"CA",0.5,-0.14050843,0,1,511.43015,607.8147,328.91525,229.89429,210.04887,300.07214,782.22015,1075.4669,2554.1589,8721.5625,7825.2705,7929.2656,9326.8916,9170.748,8328.1367,8404.6367,8509.0088,8847.3936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0.552010210593491,2000,600015,"CA",0.666666984558105,-0.11465678,0,1,1537.2811,1212.7738,1174.767,779.53705,1004.7483,537.60504,268.76224,386.91183,284.12372,10000.282,9153.5879,9071.5811,9827.6377,11428.325,11592.721,11101.946,10275.385,10941.837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0.676422032117665,2000,600016,"CA",0.666666984558105,0.009755048,1,1,515.48499,514.70825,914.84393,1129.1736,1307.3312,1978.1876,2410.1372,1659.3262,916.00354,7809.8862,7605.6709,7731.6982,8457.5303,9631.1514,8719.2285,7755.0942,7653.8916,7951.8052,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
