store_id,interview,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,pct_aff,type,status,date,ncalls,full_time,part_time,managers,wage_st,inc_time,first_inc,special,meals,open_hr,hrs_open,p_soda,p_fry,p_entree,n_regs,n_regs11,bonus
1,1,1,0,1,0,1,0,0,0,0,80,,,,0,16,30,4,4.5,,.25,,3,7,16,.93000001,.82999998,.85000002,4,3,0
1,2,1,0,1,0,1,0,0,0,0,80,1,1,110592,,20,40,4,5.0500002,,,0,2,7,16,1.05,.79000002,.89999998,4,3,
2,1,1,0,1,0,1,0,0,0,0,80,,,,0,10,6,3,4.75,26,.5,,1,7,14,1.0599999,.91000003,.95999998,2,2,1
2,2,1,0,1,0,1,0,0,0,0,80,1,1,110592,,7.5,10,3,5.25,19,.38,1,1,7,15,1.05,1.01,.94,2,2,
3,1,2,0,1,0,1,0,0,0,0,50,,,,3,6,13,3,4.25,13,.25,,2,11,10,1.0599999,.94999999,3.0899999,5,3,1
3,2,2,0,1,0,1,0,0,0,0,50,1,1,111792,2,4,7,3,5.0500002,26,.25,0,1,11,11,1.05,.94,2.75,5,3,
4,1,3,0,1,0,1,0,0,0,0,50,,,,0,10,12,3,4.75,4,.25,,2,9,12.5,1.0599999,1,2.1300001,8,4,0
4,2,3,0,1,0,1,0,0,0,0,50,1,1,110592,,5,30,4,5.0500002,26,.28,0,2,8,13.5,1.22,1.37,.88999999,6,4,
5,1,3,0,1,0,1,0,0,0,0,,,,,0,5,30,4,4.5,13,.17,,1,6,17,.94999999,,2.1300001,5,4,0
5,2,3,0,1,0,1,0,0,0,0,,1,1,111892,2,10,30,4,5.1500001,4,.18000001,0,2,6,17,1.05,.94,.94,5,5,
6,1,3,1,1,0,1,0,0,0,0,100,,,,2,2,2,2,5,13,.25,,1,11,7,1.2,1.17,2.3499999,4,2,0
6,2,3,1,1,0,1,0,0,0,0,100,1,1,111792,1,5,2,2,5.0500002,13,.15000001,0,1,10,8,1.11,1.01,2.23,4,2,
8,1,4,0,1,0,1,0,0,0,0,,,,,0,,25,4,4.8000002,,.15000001,,1,10.5,12,1.02,.91000003,2.28,2,1,0
8,2,4,0,1,0,1,0,0,0,0,,1,1,110592,,15,25,3,5.0500002,26,.33000001,0,2,10,13,1.01,1.01,.94,2,2,
9,1,1,0,1,0,1,0,0,0,0,35,,,,2,12,40,4,4.3699999,26,.15000001,,2,7,16,1.04,.67000002,.85000002,4,4,0
9,2,1,0,1,0,1,0,0,0,0,35,1,1,110592,,0,32,4,5.0500002,26,.13,0,2,7,16,1.11,.92000002,1.01,4,3,
10,1,1,0,1,0,1,0,0,0,0,80,,,,0,15,20,4,4.25,39,.17,,2,7,16,1.04,.85000002,.85000002,3,3,0
10,2,1,0,1,0,1,0,0,0,0,80,1,1,110592,,15,15,4,5.0500002,4,.28,0,2,7,16,.94,.87,.94,3,2,
11,1,1,0,1,0,1,0,0,0,0,80,,,,2,10,30,4,4.25,26,.1,,2,7,16,1.09,.88999999,.91000003,3,3,0
11,2,1,0,1,0,1,0,0,0,0,80,1,1,111792,1,12,24,3,5.0500002,,,0,2,7,16,1.05,.87,.94,3,2,
12,1,1,0,1,0,1,0,0,0,0,100,,,,0,6.5,23.5,3,4.3699999,9,.1,,2,7,16,1.05,.79000002,.91000003,3,3,0
12,2,1,0,1,0,1,0,0,0,0,100,1,1,111892,3,15,15,4,5.0500002,26,.25,0,3,7,16,1.01,.92000002,.94,3,2,
13,1,2,0,1,0,1,0,0,0,0,100,,,,0,0,25,3,4.5,7,.25,,2,11,10,1.0599999,.94999999,2.6600001,5,4,0
13,2,2,0,1,0,1,0,0,0,0,100,1,1,111792,1,2,11,3,5,13,.25,0,1,11,11,1.01,.94,2.75,4,3,
