"store_id","interview","chain","co_owned","state","southj","centralj","northj","pa1","pa2","shore","pct_aff","type","status","date","ncalls","full_time","part_time","managers","wage_st","inc_time","first_inc","special","meals","open_hr","hrs_open","p_soda","p_fry","p_entree","n_regs","n_regs11","bonus","pa","nj"
1,1,1,0,1,0,1,0,0,0,0,80,NA,NA,NA,0,16,30,4,4.5,NA,0.25,NA,3,7,16,0.93000001,0.82999998,0.85000002,4,3,0,0,1
1,2,1,0,1,0,1,0,0,0,0,80,1,1,110592,0,20,40,4,5.0500002,NA,NA,0,2,7,16,1.05,0.79000002,0.89999998,4,3,NA,0,1
2,1,1,0,1,0,1,0,0,0,0,80,NA,NA,NA,0,10,6,3,4.75,26,0.5,NA,1,7,14,1.0599999,0.91000003,0.95999998,2,2,1,0,1
2,2,1,0,1,0,1,0,0,0,0,80,1,1,110592,0,7.5,10,3,5.25,19,0.38,1,1,7,15,1.05,1.01,0.94,2,2,NA,0,1
3,1,2,0,1,0,1,0,0,0,0,50,NA,NA,NA,3,6,13,3,4.25,13,0.25,NA,2,11,10,1.0599999,0.94999999,3.0899999,5,3,1,0,1
3,2,2,0,1,0,1,0,0,0,0,50,1,1,111792,2,4,7,3,5.0500002,26,0.25,0,1,11,11,1.05,0.94,2.75,5,3,NA,0,1
4,1,3,0,1,0,1,0,0,0,0,50,NA,NA,NA,0,10,12,3,4.75,4,0.25,NA,2,9,12.5,1.0599999,1,2.1300001,8,4,0,0,1
4,2,3,0,1,0,1,0,0,0,0,50,1,1,110592,0,5,30,4,5.0500002,26,0.28,0,2,8,13.5,1.22,1.37,0.88999999,6,4,NA,0,1
5,1,3,0,1,0,1,0,0,0,0,NA,NA,NA,NA,0,5,30,4,4.5,13,0.17,NA,1,6,17,0.94999999,NA,2.1300001,5,4,0,0,1
5,2,3,0,1,0,1,0,0,0,0,NA,1,1,111892,2,10,30,4,5.1500001,4,0.18000001,0,2,6,17,1.05,0.94,0.94,5,5,NA,0,1
6,1,3,1,1,0,1,0,0,0,0,100,NA,NA,NA,2,2,2,2,5,13,0.25,NA,1,11,7,1.2,1.17,2.3499999,4,2,0,0,1
6,2,3,1,1,0,1,0,0,0,0,100,1,1,111792,1,5,2,2,5.0500002,13,0.15000001,0,1,10,8,1.11,1.01,2.23,4,2,NA,0,1
8,1,4,0,1,0,1,0,0,0,0,NA,NA,NA,NA,0,NA,25,4,4.8000002,NA,0.15000001,NA,1,10.5,12,1.02,0.91000003,2.28,2,1,0,0,1
8,2,4,0,1,0,1,0,0,0,0,NA,1,1,110592,0,15,25,3,5.0500002,26,0.33000001,0,2,10,13,1.01,1.01,0.94,2,2,NA,0,1
9,1,1,0,1,0,1,0,0,0,0,35,NA,NA,NA,2,12,40,4,4.3699999,26,0.15000001,NA,2,7,16,1.04,0.67000002,0.85000002,4,4,0,0,1
9,2,1,0,1,0,1,0,0,0,0,35,1,1,110592,0,0,32,4,5.0500002,26,0.13,0,2,7,16,1.11,0.92000002,1.01,4,3,NA,0,1
10,1,1,0,1,0,1,0,0,0,0,80,NA,NA,NA,0,15,20,4,4.25,39,0.17,NA,2,7,16,1.04,0.85000002,0.85000002,3,3,0,0,1
10,2,1,0,1,0,1,0,0,0,0,80,1,1,110592,0,15,15,4,5.0500002,4,0.28,0,2,7,16,0.94,0.87,0.94,3,2,NA,0,1
11,1,1,0,1,0,1,0,0,0,0,80,NA,NA,NA,2,10,30,4,4.25,26,0.1,NA,2,7,16,1.09,0.88999999,0.91000003,3,3,0,0,1
11,2,1,0,1,0,1,0,0,0,0,80,1,1,111792,1,12,24,3,5.0500002,NA,NA,0,2,7,16,1.05,0.87,0.94,3,2,NA,0,1
12,1,1,0,1,0,1,0,0,0,0,100,NA,NA,NA,0,6.5,23.5,3,4.3699999,9,0.1,NA,2,7,16,1.05,0.79000002,0.91000003,3,3,0,0,1
12,2,1,0,1,0,1,0,0,0,0,100,1,1,111892,3,15,15,4,5.0500002,26,0.25,0,3,7,16,1.01,0.92000002,0.94,3,2,NA,0,1
13,1,2,0,1,0,1,0,0,0,0,100,NA,NA,NA,0,0,25,3,4.5,7,0.25,NA,2,11,10,1.0599999,0.94999999,2.6600001,5,4,0,0,1
13,2,2,0,1,0,1,0,0,0,0,100,1,1,111792,1,2,11,3,5,13,0.25,0,1,11,11,1.01,0.94,2.75,4,3,NA,0,1
14,1,2,0,1,0,1,0,0,0,0,0,NA,NA,NA,0,10,8,2,5.1199999,6,0.25,NA,3,11,11,1.0599999,0.85000002,2.49,6,5,0,0,1
14,2,2,0,1,0,1,0,0,0,0,0,1,1,110592,0,4,17,3,5.0500002,13,0.25,1,2,11,11,1.05,0.94,2.5999999,6,3,NA,0,1
15,1,3,0,1,0,1,0,0,0,0,95,NA,NA,NA,3,3,25,4,4.5999999,9,0.15000001,NA,2,6,17,1.02,0.98000002,0.94999999,5,4,1,0,1
15,2,3,0,1,0,1,0,0,0,0,95,2,1,121092,5,5,20,3,5.0500002,NA,0.25,0,2,6,17,1.05,1.01,2,3,3,NA,0,1
16,1,3,0,1,0,1,0,0,0,0,50,NA,NA,NA,0,6,22,4,4.5,13,0.25,NA,2,6,17,1,1,NA,5,5,0,0,1
16,2,3,0,1,0,1,0,0,0,0,50,1,1,110592,0,7,17,3,5.0500002,19,0.25,0,2,6,17,1.05,1.01,0.94,5,5,NA,0,1
17,1,3,0,1,0,1,0,0,0,0,60,NA,NA,NA,0,0,20,4,4.3699999,13,0.25,NA,2,6,17,1.0599999,1,2.02,6,5,0,0,1
17,2,3,0,1,0,1,0,0,0,0,60,1,1,111692,1,4,35,4,5.0500002,13,0.2,0,2,6,17,1.05,0.94,0.94999999,6,5,NA,0,1
18,1,3,0,1,0,1,0,0,0,0,50,NA,NA,NA,2,15,25,3,4.25,13,NA,NA,2,6,17,NA,NA,NA,4,4,0,0,1
18,2,3,0,1,0,1,0,0,0,0,50,1,1,110592,0,8,38,5,5.0500002,NA,0.25,1,2,6,17,1.05,1,0.63,7,7,NA,0,1
19,1,1,0,1,1,0,0,0,0,0,50,NA,NA,NA,3,4,31,4,4.25,4,0.25,NA,2,6,16,1.05,0.91000003,0.93000001,3,3,0,0,1
